,Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Timestamp
157,dunkin donuts corporate office,1,1,1600,69.92,0.0,https://www.dunkindonuts.com/en/about/contact-us,1280,0.02,0,0.01,37800000,8/23/2020
158,order dunkin donuts,1,1,1600,88.37,2.48,https://news.dunkindonuts.com/blog/thegoogleassistant,1280,0.02,3174,0.28,34000000,8/17/2020
159,donut donuts,1,1,1600,78.71,1.34,https://www.dunkindonuts.com/,1280,0.02,1715,0.11,144000000,8/19/2020
160,dunkin donuts caramel swirl,1,1,1900,87.02,0.34,https://www.dunkindonuts.com/en/food-drinks/iced-drinks/iced-coffee,1520,0.02,516,1.0,147000,8/16/2020
161,dunkin donuts allergen menu,1,1,1600,76.98,0.0,https://www.dunkindonuts.com/content/dam/dd/pdf/allergy_ingredient_guide.pdf,1280,0.02,0,0.0,56400,8/16/2020
162,dunkin donuts oregon,1,1,1600,82.09,0.0,https://www.dunkindonuts.com/en/locations,1280,0.02,0,0.0,778000,7/26/2020
163,nearest store,11,14,33100,93.17,3.31,https://www.dunkindonuts.com/en/locations,1555,0.02,5149,0.02,700000000,8/30/2020
164,dunkin donuts mug,1,1,1600,85.93,0.36,https://www.dunkindonuts.com/en/shop,1280,0.02,460,1.0,996000,8/13/2020
165,dunkin donuts flavors,2,2,12100,86.07,2.03,https://www.dunkindonuts.com/en/menu/donuts/donuts,1573,0.02,3193,0.02,0,8/30/2020
166,pink velvet macchiato dunkin,1,1,1900,79.8,4.38,https://news.dunkindonuts.com/blog/the-story-behind-our-pink-velvet-signature-latte-and-macchiato,1520,0.02,6657,0.07,8,8/15/2020
167,dunkin breakfast,1,1,1600,84.56,6.18,https://www.dunkindonuts.com/en/menu/sandwiches-and-more,1280,0.02,7910,0.19,14400000,8/23/2020
168,when does dunkin donuts open,1,1,1900,86.07,0.0,https://www.dunkindonuts.com/en/locations,1520,0.02,0,0.0,28900000,8/20/2020
169,dunkin donuts holiday drinks,1,1,1600,84.97,0.0,https://news.dunkindonuts.com/news/holiday-menu-extra-joy-included-dunkin-unwraps-its-largest-ever-holiday-lineup,1280,0.02,0,0.11,706000,8/29/2020
170,is dunkin open,1,1,1600,83.98,0.0,https://www.dunkindonuts.com/en/locations,1280,0.02,0,0.0,31100000,8/15/2020
171,dunkin donuts menu prices,2,2,12100,78.14,1.32,https://www.dunkindonuts.com/en/menu,1573,0.02,2076,0.01,6110000,8/30/2020
172,dunkin donuts coffee roll,1,1,1600,83.13,3.28,https://www.dunkindonuts.com/en/menu/nutrition,1280,0.02,4198,0.1,1450000,8/24/2020
